Car_Age,Car_Brand,Car_Model,KM Driven,Fuel Type,Transmission Type,Ownership,Price(in Lakhs)
10,Maruti,Ciaz,120000,Diesel,Manual,3rd owner,303000
1,Audi,A4,10140,Petrol,Auto,1st owner,3399000
6,Hyundai,Creta,140000,Diesel,Manual,1st owner,800000
7,Maruti,S Cross,100000,Diesel,Manual,2nd owner,450000
14,Audi,A6,120000,Diesel,Auto,3rd owner,459999
4,Mahindra,Thar,76920,Diesel,Manual,1st owner,1150000
3,Mahindra,BOLERO NEO,92760,Diesel,Manual,2nd owner,740000
11,Hyundai,Verna,110000,Diesel,Manual,3rd owner,329000
3,Maruti,BREZZA,65710,Petrol,Manual,1st owner,816000
12,Ssangyong,Rexton,94610,Diesel,Auto,5th owner,327000
3,MG,HECTOR PLUS,60890,Diesel,Manual,1st owner,1816000
3,Hyundai,VENUE,49900,Petrol,Manual,1st owner,883000
9,Maruti,Ciaz,170000,Diesel,Manual,2nd owner,355000
12,Toyota,Innova,60350,Diesel,Manual,2nd owner,524000
8,Toyota,Innova Crysta,150000,Diesel,Manual,1st owner,1290000
8,Toyota,Innova Crysta,190000,Diesel,Manual,1st owner,1050000
2,Maruti,XL6,50190,Petrol,Manual,1st owner,1099000
2,Maruti,BREZZA,67370,Petrol,Manual,1st owner,1000000
6,Jeep,Compass,100000,Diesel,Manual,1st owner,1000000
2,MG,HECTOR PLUS,35440,Diesel,Manual,1st owner,1750000
10,Audi,A3,67100,Diesel,Auto,3rd owner,1410000
9,Maruti,Vitara Brezza,81940,Diesel,Auto,2nd owner,508000
3,KIA,SONET,93560,Diesel,Manual,1st owner,1050000
12,Audi,Q5,79440,Diesel,Auto,2nd owner,1050000
4,Tata,ALTROZ,31150,Petrol,Manual,1st owner,650000
3,Hyundai,ALCAZAR,72970,Diesel,Auto,2nd owner,1659000
6,Honda,Amaze,92310,Petrol,Manual,1st owner,469000
10,Maruti,Alto K10,84390,Petrol,Manual,1st owner,227999
6,Volkswagen,Polo,75390,Petrol,Manual,2nd owner,399000
2,Honda,Amaze,35950,Petrol,Manual,1st owner,640000
7,Tata,Tiago,66060,Petrol,Manual,1st owner,309000
2,Tata,NEXON,20370,CNG,Manual,1st owner,761000
3,Hyundai,VENUE,36180,Petrol,Manual,1st owner,686000
8,Jeep,Compass,95730,Diesel,Manual,1st owner,693000
9,Hyundai,Elite i20,32600,Petrol,Manual,2nd owner,425000
4,Tata,ALTROZ,19330,Petrol,Manual,1st owner,601000
9,Hyundai,Grand i10,96570,Diesel,Manual,2nd owner,281000
3,Maruti,Alto,72000,Petrol,Manual,1st owner,323000
1,Maruti,Grand Vitara,22520,Petrol,Manual,1st owner,1080000
8,Skoda,Rapid,71510,Diesel,Manual,2nd owner,401000
11,Maruti,Swift Dzire,54930,Petrol,Manual,1st owner,315000
6,Maruti,Baleno,69580,Petrol,Manual,2nd owner,480000
3,Tata,PUNCH,24840,Petrol,Auto,2nd owner,501000
4,Renault,Kwid,50740,Petrol,Manual,1st owner,318000
5,Hyundai,NEW I20,52360,Petrol,Manual,2nd owner,578000
5,Tata,ALTROZ,69810,Petrol,Manual,1st owner,479000
4,Tata,ALTROZ,42830,Petrol,Manual,1st owner,590000
7,Hyundai,Verna,150000,Diesel,Manual,2nd owner,627000
9,Renault,Kwid,97130,Petrol,Manual,1st owner,200000
6,KIA,SELTOS,170000,Petrol,Manual,1st owner,799000
5,Mahindra,Scorpio,160000,Diesel,Manual,1st owner,1110000
14,Mahindra,Scorpio,140000,Diesel,Manual,3rd owner,200000
7,Maruti,Wagon R 1.0,33920,Petrol,Manual,1st owner,327000
10,Maruti,Wagon R 1.0,69610,Petrol,Manual,4th owner,223000
9,Hyundai,Creta,140000,Diesel,Manual,3rd owner,562000
8,Maruti,Alto 800,92930,Petrol,Manual,2nd owner,267000
7,Maruti,Dzire,290000,Diesel,Manual,1st owner,516000
3,Tata,Tiago,49000,Petrol,Manual,2nd owner,415000
7,Tata,NEXON,110000,Diesel,Manual,2nd owner,544000
11,Tata,Safari Storme,160000,Diesel,Manual,2nd owner,469000
5,Mahindra,TUV300,76150,Diesel,Manual,1st owner,758000
12,Toyota,Innova,180000,Diesel,Manual,5th owner,572000
4,Renault,Kwid,39110,Petrol,Manual,1st owner,421000
9,Mahindra,NUVOSPORT,88810,Diesel,Manual,2nd owner,365000
3,Tata,NEXON,58880,Petrol,Manual,1st owner,750000
3,Maruti,New Wagon-R,34620,Petrol,Manual,1st owner,606000
5,Toyota,URBAN CRUISER,40620,Petrol,Manual,1st owner,689000
1,Maruti,BREZZA,10150,Petrol,Manual,1st owner,815000
13,Mahindra,XUV500,100000,Diesel,Manual,3rd owner,341000
3,Jeep,Compass,55110,Diesel,Auto,1st owner,2200000
7,Nissan,Terrano,220000,Diesel,Manual,1st owner,699000
11,Maruti,Wagon R 1.0,36830,Petrol,Manual,2nd owner,310000
2,Maruti,FRONX,9480,Petrol,Auto,1st owner,869999
13,Skoda,Fabia,170000,Petrol,Manual,3rd owner,142000
11,Nissan,Terrano,140000,Diesel,Manual,2nd owner,305000
9,Renault,Kwid,45900,Petrol,Manual,1st owner,280000
10,Maruti,Alto K10,51580,Petrol,Manual,2nd owner,250000
7,Ford,Ecosport,62200,Diesel,Manual,1st owner,650000
15,Maruti,Swift,130000,Diesel,Manual,1st owner,169000
7,Maruti,Dzire,71930,Petrol,Manual,1st owner,420000
6,Tata,Tiago,42650,Petrol,Manual,1st owner,475000
5,Maruti,New Wagon-R,47440,Petrol,Manual,2nd owner,376000
10,Hyundai,Creta,65550,Diesel,Manual,1st owner,680000
3,Tata,ALTROZ,31060,Petrol,Manual,1st owner,550000
6,Hyundai,Grand i10,33170,Petrol,Manual,1st owner,450000
7,Hyundai,Creta,65480,Diesel,Auto,2nd owner,950000
9,Hyundai,Elite i20,48210,Petrol,Manual,1st owner,570000
7,Hyundai,i20 Active,87770,Petrol,Manual,2nd owner,425000
6,Hyundai,Creta,52300,Diesel,Manual,1st owner,950000
